,Titles,Total_Views,Total_Revenue($),Total_Revenue(INR)
0,YALGAAR....COMING SOON,"27,537,820",27537,2065275
1,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,"61,535,046",61535,4615125
2,WARRIOR - CARRYMINATI X Wily Frenzy,"9,095,334",9095,682125
3,FILM THE FLARE,"21,082,362",21082,1581150
4,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,"12,579,825",12579,943425
5,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,"27,225,597",27225,2041875
6,Zindagi - CARRYMINATI X Wily Frenzy,"12,832,341",12832,962400
7,LADKA LADKI AUR WOH | CARRYMINATI,"16,265,105",16265,1219875
8,NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI,"24,441,367",24441,1833075
9,TALENTED PEOPLE OF VIGO | CARRYMINATI,"17,262,723",17262,1294650
10,CUTE GIRLS PRANK | CARRYMINATI,"14,817,449",14817,1111275
11,wildest parties by carry minati,"17,036,211",17036,1277700
12,I JUMPED OFF A PLANE | CARRYMINATI QnA 2019,"8,577,145",8577,643275
13,TIKTOK EVOLUTION 2019 | CARRYMINATI,"32,176,407",32176,2413200
14,SCHOOL TRIP OF THE YEAR,"10,388,683",10388,779100
15,TRIGGER - CARRYMINATI X VIBGYOR,"9,377,203",9377,703275
16,HEART BRAKEN KIDS OF TIK TOK,"19,480,262",19480,1461000
17,NO MORE SINGLE: VALENTINE SPECIAL FEAT ROCKY,"27,984,248",27984,2098800
18,MY REAL AGE | QNA 2019,"8,326,300",8326,624450
19,Bye Pewdiepie | Carryminati,"34,134,324",34134,2560050
20,WEDDING OF THE YEAR (I'M INVITED!),"20,788,413",20788,1559100
21,Big Boss pART 1,"18,427,563",18427,1382025
22,PUBG INDIA: LIFE BATTLE ROYALE,"22,795,759",22795,1709625
23,INDIAN KID MEETS TOM CRUISE,"17,791,660",17791,1334325
24,HOW TO GET MODERN LOVE,"16,425,605",16425,1231875
25,THE PERFECT BRIDE,"14,287,294",14287,1071525
26,QnA 2018,"5,150,000",5150,386250
27,English U.S.,"11,276,335",11276,845700
28,SANGEET BHOJPURI,"14,942,182",14942,1120650
